,id,title,label
0,0,interactive visual exploration of neighbor based patterns in data streams,1
1,3,relational division four algorithms and their performance,1
2,6,simplifying xml schema effortless handling of nondeterministic regular expressions,1
3,8,funbase a function based information management system,0
4,9,inverted matrix efficient discovery of frequent items in large datasets in the context of interactive mining,0
5,11,computational aspects of covering in dominance graphs,2
6,13,feaspar   a feature structure parser learning to parse spoken language,4
7,18,assessing the scenic route measuring the value of search trails in web logs,0
8,20,webanywhere enabling a screen reading interface for the web on any computer,0
9,24,non standard semantics for the method of temporal arguments,2
10,30,exsearch a novel vertical search engine for online barter business,0
11,31,query evaluation and progression in aol knowledge bases,2
12,32,cryptanalytic attacks on pseudorandom number generators,3
13,33,threshold concepts in computer science do they exist and are they useful,3
14,36,nonexistence of voting rules that are usually hard to manipulate,2
15,38,using node merging to enhance graph coloring,3
16,40,combining classifiers in text categorization,0
17,41,theoretical and practical tools for data base design,1
18,43,goal directed site independent recommendations from passive observations,2
19,44,towards modeling threaded discussions using induced ontology knowledge,2
20,46,generating comparative summaries of contradictory opinions in text,0
21,48,the revival transformation,3
22,53,evaluating topic models for information retrieval,0
23,54,generalized memory manipulating actions for parsing natural language,4
24,55,on the semantics of the relational data model,1
25,56,an assessment and comparison of common software cost estimation modeling techniques,3
26,58,adaptive relevance feedback in information retrieval,0
27,59,fast logistic regression for text categorization with variable length n grams,0
28,62,automatic generation of dag parallelism,3
29,68,feature engineering for mobile sms spam filtering,0
30,69,exploring mouse movements for inferring query intent,0
31,71,a hybrid system for quantifier scoping,4
32,75,issues in evaluation of stream learning algorithms,0
33,77,computable processes,3
34,78,weighted association rule mining from binary and fuzzy data,0
35,79,a unified approach to global program optimization,3
36,81,a representation for robot plans,2
37,82,experience from applying rim to educational erp development,3
38,86,reducing labeling effort for structured prediction tasks,2
39,87,characterizing and assessing a large scale software maintenance organization,3
40,90,bsr a statistic based approach for establishing and refining software process performance baseline,3
41,91,a discriminative model for tree to tree translation,4
42,92,datr theories and datr models,4
43,93,teg a hybrid approach to information extraction,0
44,94,a visual sensor model for mobile robot localisation,2
45,95,supervised dimensionality reduction using mixture models,2
46,97,anonymizing healthcare data a case study on the blood transfusion service,0
47,98,a compiler framework for speculative analysis and optimizations,3
48,99,levels of exploration,3
49,101,aligning sentences in parallel corpora,4
50,103,multi dimensional sequential pattern mining,0
51,106,choices in practical data design,1
52,107,declustering databases on heterogeneous disk systems,1
53,108,knowledge engineering tools at the architecture level,2
54,110,a combined component approach for finding collection adapted ranking functions based on genetic programming,0
55,112,a hierarchical method for multi class support vector machines,2
56,113,distributing and porting general linguistic tools,4
57,114,island parsing and bidirectional charts,4
58,115,when is temporal planning really temporal,2
59,116,electronic market the roadmap for university libraries and members to survive in the information jungle,1
60,119,macro by example deriving syntactic transformations from their specifications,3
61,120,extracting semi structured data through examples,0
62,122,information retrieval with commonsense knowledge,0
63,123,a technique for customizing object oriented knowledge representation systems with an application to network problem management,2
64,132,on the effectiveness of optimization search strategies for parallel execution spaces,1
65,133,software architecture recovery of embedded software,3
66,134,outlines of a computer model of motivation,2
67,137,exploiting temporal information in retrieval of archived documents,0
68,140,dynamic file allocation in disk arrays,1
69,141,analysis of distributed data base processing strategies,1
70,142,how good is a span of terms exploiting proximity to improve web retrieval,0
71,144,evolutionary learning strategy using bug based search,2
72,145,fast shortest path distance estimation in large networks,0
73,146,efficient updates to independent schemes in the weak instance model,1
74,147,a real time garbage collector with low overhead and consistent utilization,3
75,152,compressing term positions in web indexes,0
76,153,live visual relevance feedback for query formulation,0
77,155,reading a set of disk pages,1
78,156,distributing semantic constraints between heterogeneous databases,1
79,159,a geometric approach to total envisioning,2
80,162,functional programming for freshman computer science majors,3
81,167,cooperative caching by mobile clients in push based information systems,0
82,169,information retrieval using a singular value decomposition model of latent semantic structure,0
83,170,optimizing parallel itineraries for knn query processing in wireless sensor networks,0
84,172,incremental reorganization of relational databases,1
85,173,introduction to the wellmade design methodology,3
86,174,computing first and follow functions for feature theoretic grammars,4
87,177,type checking type classes,3
88,178,programming as an evolutionary process,3
89,180,the t4sql temporal query language,0
90,185,bottom up filtering a parsing strategy for gpsg,4
91,188,music performamatics interdisciplinary interaction,3
92,189,rationale reasoning by explaining,1
93,190,transliteration as constrained optimization,4
94,194,taj effective taint analysis of web applications,3
95,195,application of bitmap index to information retrieval,0
96,196,structures for manipulating proposed updates in object oriented databases,1
97,197,an active bilingual lexicon for machine translation,4
98,198,combining eye movements and collaborative filtering for proactive information retrieval,0
